,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37
R21,13,9,10,8,10,10,8,5,8,13,6,10,13,8,11,10,13,8,9,7,,11,9,8,9,9,11,9,11,11,12,10,6,9,13,14,8
R22,10,9,7,9,8,14,10,10,10,10,8,13,8,11,9,10,5,8,9,14,11,,9,8,10,9,8,9,11,14,11,11,7,10,13,10,12
R23,12,9,9,9,8,9,10,8,12,7,9,9,9,10,10,6,10,13,9,12,8,9,,11,11,11,9,11,11,14,6,10,10,8,10,9,10
R24,7,9,10,8,15,8,9,10,7,6,10,12,12,9,11,9,10,8,9,8,12,9,9,,11,10,12,6,10,8,7,8,7,9,9,10,9
R25,9,9,10,11,6,9,10,8,11,11,7,8,11,9,11,10,10,10,9,11,9,9,10,11,,8,8,9,10,12,8,7,9,10,13,7,14
R26,9,9,10,8,9,8,13,9,9,8,12,6,9,9,11,10,10,9,10,12,7,11,10,13,15,,10,9,10,9,9,13,7,12,10,11,7
R27,11,8,12,9,10,5,9,13,7,13,9,11,9,13,8,9,13,11,7,12,11,10,13,8,12,8,,9,10,8,7,10,9,9,8,9,7
R28,9,12,9,11,8,7,10,10,11,8,14,11,8,8,4,11,7,9,7,12,9,13,10,10,11,11,6,,11,6,10,10,8,10,6,9,8
R29,11,11,7,4,10,8,8,9,10,11,9,11,11,8,8,7,7,8,10,6,9,9,8,6,11,9,8,12,,7,9,9,10,3,12,10,9
R30,8,10,8,11,9,8,6,11,9,9,9,10,9,9,10,8,10,11,10,11,10,9,10,11,11,10,10,8,9,,8,8,9,11,12,7,10
R31,12,11,7,10,9,10,9,8,10,8,6,12,12,8,12,8,10,10,9,10,10,9,10,13,10,7,13,10,11,9,,9,12,9,7,10,10
R32,11,11,9,11,7,5,8,6,9,9,11,13,9,11,9,9,9,10,9,12,6,8,8,11,10,11,7,9,8,11,12,,13,8,8,9,11
R33,9,11,10,11,8,6,10,8,11,10,9,7,9,8,9,15,10,15,6,10,10,12,8,9,12,9,5,7,5,8,8,8,,8,11,9,7
R34,9,7,7,10,11,12,6,8,9,12,12,8,11,9,10,13,7,6,8,7,6,10,10,12,8,7,11,10,9,6,9,8,9,,10,9,9
R35,10,12,12,9,10,13,13,7,10,9,8,7,9,9,4,13,11,6,10,11,9,11,7,8,9,11,8,14,6,10,9,8,7,13,,11,10
R36,11,12,9,9,10,8,9,8,9,7,12,11,10,9,8,13,10,10,10,8,11,7,9,8,8,10,9,10,11,12,8,8,9,10,10,,11
R37,7,11,11,11,9,12,7,12,10,15,10,6,15,10,12,9,13,9,8,8,8,12,9,8,13,10,11,9,10,7,8,5,10,7,8,11,
